code,description
CA-17.1,Déclaration relative à l'essence apportée sur un territoire visé par une majoration du taux de la taxe sur l'essence
CA-90,"Demande de remboursement de la taxe sur les carburants payée par une ou un membre des Premières Nations, un conseil de bande, un conseil tribal ou une entité mandatée par une bande"
CA-1001,Demande d'inscription pour une ou un membre des Premières Nations
CA-1001.M,Demande de modification de renseignements ou de remplacement de l'attestation d'inscription d'une ou un membre des Premières Nations
CO-125.1,Choix relatif à la location d'un bien
CO-125.2,Choix relatif à la cession d'un bail ou à la sous-location d'un bien
COM-301.1,Devenez un organisme participant! Le Service d'aide en impôt – Programme des bénévoles
COM-301.2,Un bénévole vous y aidera. Le Service d'aide en impôt – Programme des bénévoles
COM-301.3,Devenez bénévole! Le Service d'aide en impôt – Programme des bénévoles
COM-332,Renseignements sur les recours judiciaires
COM-366,Vos droits et vos obligations à l'égard d'une vérification fiscale
COM-1076.TD.A,Autorisation relative au téléchargement de données fiscales (Service d'aide en impôt – Programme des bénévoles)
COZ-1171,Avis au ministre relatif à un assureur non résident
DT-72,Choix concernant la juste valeur marchande des immobilisations au jour de l'évaluation
FP-145,Renonciation relative à une période de cotisation
FP-146,Avis de révocation d'une renonciation relative à une période de cotisation
FP-159,Avis d'opposition (TPS/TVH)
FP-352,Demande de certificat d'attestation du paiement de la TPS/TVH
FP-505,Déclarations particulières
FP-505.2,Déclaration de la TPS/TVH et de la TVQ visant la fourniture à soi-même d'un immeuble d'habitation
FP-505.D.A,Déclaration de la TPS/TVH et de la TVQ visant l'achat d'immeubles ou d'unités d'émission de carbone taxables
FP-505.D.B,Déclaration de la TPS/TVH visant les fournitures taxables importées par une personne non inscrite au fichier de la TPS/TVH
FP-505.D.C,Déclaration de la partie provinciale de la TVH
FP-505.D.D,Déclaration de la TVQ visant les apports au Québec par une personne non inscrite au fichier de la TVQ
FP-505.D.F,Déclaration de la TPS/TVH et de la TVQ par une personne non inscrite aux fichiers de la TPS/TVH et de la TVQ
FP-505.D.G,Déclaration du droit spécifique sur les pneus neufs par un acheteur ou un locataire de pneus
FP-505.D.H,Déclaration de la taxe sur les primes d'assurance par une personne qui paie une prime d'assurance
FP-524,Remboursement de TPS pour un immeuble d'habitation locatif neuf
FP-525,Annexe au remboursement de TPS pour un immeuble d'habitation locatif neuf – Logements multiples
FP-2189,Demande générale de remboursement de la TPS/TVH et de la TVQ
FP-2189.G,Guide relatif à la demande générale de remboursement de la TPS/TVH et de la TVQ
FP-2190.AC,Remboursement de taxes pour une nouvelle habitation achetée d'un constructeur
FP-2190.L,Remboursement de taxes demandé pour une habitation située sur un terrain loué ou pour une part dans une coopérative d'habitation
FP-2190.P,Remboursement de taxes demandé par le propriétaire pour une habitation neuve ou modifiée de façon majeure
FP-2498,"Demande de remboursement de taxes et de droits par un représentant étranger, une mission diplomatique, un poste consulaire, un bureau d'une division politique d'un État étranger, une organisation internationale ou une unité de forces étrangères présentes au Canada"
FP-2518,Remboursement partiel de la taxe payée sur un véhicule adapté au transport d'une personne handicapée
FP-4288,"Demande d'annulation ou de renonciation à l'égard d'intérêts ou de pénalités relatifs à la TPS/TVH et à la TVQ, ou à l'égard de frais relatifs à la TVQ"
FPR-307,Appel à la Cour canadienne de l'impôt concernant la TPS/TVH
FPZ-500,Déclaration de la TPS/TVH et de la TVQ
FPZ-500.AR,Déclaration de la TPS/TVH et de la TVQ
IN-100,Le particulier et les revenus locatifs
IN-103,Le crédit d'impôt remboursable pour frais de garde d'enfants
IN-105,Les paiements d'impôt par acomptes provisionnels
IN-106,Des recours à votre portée
IN-112,Crédit d'impôt pour frais de scolarité ou d'examen
IN-114,La faillite
IN-117,Guide pour la déclaration de revenus d'une personne décédée
IN-118,Les dépenses d'emploi
IN-119,Les nouveaux arrivants et l'impôt
IN-120,Gains et pertes en capital
IN-125,Les incidences fiscales de l'aide financière reçue à la suite d'un sinistre
IN-128,Les incidences fiscales d'une séparation ou d'un divorce
IN-129,L'incitatif québécois à l'épargne-études (IQEE)
IN-130,Les frais médicaux
IN-132,Les personnes handicapées et la fiscalité
IN-135,La vérification fiscale
IN-151,Les grandes lignes du crédit d'impôt pour maintien à domicile des aînés
IN-158,"L'impôt et les organismes internationaux, les missions diplomatiques, les postes consulaires et les bureaux d'une division politique d'un État étranger"
IN-165,Programme Allocation-logement
IN-191,Déduction pour amortissement – Biens acquis après le 20 novembre 2018
IN-205,"Remboursement de la TVQ et de la TPS – Habitations neuves, immeubles d'habitation locatifs neufs et rénovations majeures"
IN-211,"La TVQ, la TPS/TVH, les appareils médicaux, les appareils fonctionnels et les médicaments"
IN-245,"La prime au travail, la prime au travail adaptée et le supplément à la prime au travail"
IN-249,"Remboursement de taxes et de droits pour les représentants étrangers, les missions diplomatiques, les postes consulaires, les bureaux d'une division politique d'un État étranger et les organisations internationales"
IN-255,Les marchés aux puces
IN-259,Inspection des établissements d'hébergement touristique
IN-261,"La TVQ, la TPS/TVH et les immeubles d'habitation – Construction ou rénovation"
IN-292,Renseignements concernant la production électronique de la déclaration de la TPS/TVH et de la TVQ – Précisions sur la déclaration en ligne de la TPS/TVH et de la TVQ
IN-300,Travailleurs autonomes – Aide-mémoire concernant la fiscalité
IN-301,Travailleur autonome ou salarié?
IN-308,Faire opposition : c'est votre recours
IN-311,Les aînés et la fiscalité
IN-313,Les successions et la fiscalité
IN-315,Déclaration de services à la clientèle
IN-318,Régime québécois d'assurance parentale
IN-319,Programme de rémunération des dénonciateurs d'opérations visées par la règle générale anti-évitement ou constituant un trompe-l'œil
IN-413.A,Renseignements pour l'utilisateur d'un logiciel – Déclaration de revenus des particuliers
IN-456,Programme d'accompagnement
IN-487,Vous avez récemment acquis un immeuble locatif?
IN-500,"Avis publics – Successions, produits financiers et autres biens non réclamés"
IN-500.1,Avis publics – Successions non réclamées
IN-517,"Secteur de la construction – Assurer l'équité fiscale, c'est être juste pour tous"
IN-518,Les dons de bienfaisance : faites preuve de prudence
IN-573.TR,Inspection dans le secteur du transport rémunéré de personnes
IN-602,Le respect de vos droits : une priorité!
IN-616,Guide d'utilisation du service de courriel sécurisé
IN-624,"La TVQ, la TPS/TVH et les véhicules routiers"
IN-647,Les biens non réclamés
IN-690,Procédure portant sur la réception et l'examen des plaintes prévue à l'article 21.0.3 de la Loi sur les contrats des organismes publics
IN-900,Le versement des pensions alimentaires – La demande d'exemption
IN-901,Le versement des pensions alimentaires
IN-904,Le versement des pensions alimentaires – Le débiteur ou le créancier réside à l'extérieur du Québec
IN-905,Le versement des pensions alimentaires – L'aide financière de dernier recours
IN-907,Vous déménagez? Faites-nous connaître votre nouvelle adresse le plus tôt possible.
IN-908,Le versement des pensions alimentaires – Demande de paiement
IN-909,Le versement des pensions alimentaires – Les avances
LE-20,Preuve de livraison dans une réserve
LE-35,Cotisation et déduction relatives au RRQ ou au RPC
LE-421,Demande d'autorisation concernant une oeuvre protégée par le droit d'auteur
LEX-165,Demande d'allocation-logement
LEZ-14,Déclaration de loyer
LM-3,Demande d'inscription au dépôt direct
LM-6,Dénonciation – Programme général de dénonciation
LM-8,Dénonciation relative au Programme de rémunération des dénonciateurs d'opérations visées par la règle générale anti-évitement ou constituant un trompe-l'œil
LM-14,Transmission de renseignements sur le représentant
LM-14.1,Désignation d'un liquidateur par les héritiers
LM-15,Divulgation volontaire
LM-30,Proposition d'entente de paiement
LM-31,Proposition d'entente de paiement par débit préautorisé
LM-31.A,Demande de modification ou d'annulation – Accord de DPA du payeur
LM-53,Rétribution cotisable d'un responsable d'une ressource de type familial ou d'une ressource intermédiaire
LM-93.13,Contestation en matière fiscale
LM-2498.A,"Calcul du remboursement de la taxe spécifique sur les boissons alcooliques et de l'impôt sur le tabac (par un représentant étranger, une mission diplomatique, un poste consulaire, un bureau d'une division politique d'un État étranger ou une organisation internationale)"
MR-14.A,Avis de distribution de biens dans le cas d'une succession
MR-14.B,Avis de distribution de biens
MR-25.3,Avis de révocation d'une renonciation à la prescription
MR-69,Autorisation relative à la communication de renseignements ou procuration
MR-69.MD,Procuration pour les versements anticipés – Crédit d'impôt pour maintien à domicile des aînés
MR-69.R,Révocation d'une autorisation relative à la communication de renseignements ou d'une procuration
MR-93.1.1,Avis d'opposition
MR-93.1.3,Demande de prorogation du délai d'opposition
MR-94.1,"Demande d'annulation ou de renonciation à l'égard d'intérêts, de pénalités ou de frais"
MR-94.1.A,Demande d'évaluation d'une situation financière
MR-94.1.R,Demande d'annulation ou de renonciation à l'égard de pénalités relatives au sommaire périodique des ventes
PER-6606,Revenu net d'un travailleur autonome
PPA-70,Consentement à la remise de la sûreté au débiteur – Exemption
PPA-104,Demande de cessation d'exemption
PPA-120,Avis de contestation (Loi facilitant le paiement des pensions alimentaires)
PPZ-109,Demande relative au dépôt direct de la pension alimentaire
RD-222,Déduction des dépenses engagées pour la recherche scientifique et le développement expérimental
RD-1029.7,Crédit d'impôt relatif aux salaires – R-D
RD-1029.8.6,Crédit d'impôt pour la recherche universitaire ou la recherche effectuée par un centre de recherche public ou par un consortium de recherche
RD-1029.8.6.A,Contrat de recherche universitaire ou contrat de recherche effectuée par un centre de recherche public admissible ou par un consortium de recherche admissible
RD-1029.8.9.03,Crédit d'impôt relatif aux cotisations et aux droits versés à un consortium de recherche
RD-1029.8.16.1,Crédit d’impôt pour la recherche précompétitive en partenariat privé
RL-3,Relevé 3 – Revenus de placement
RL-3.G,Guide du relevé 3 – Revenus de placement
RL-13,Relevé 13 – Certificat de propriété
RL-23,Relevé 23 – Reconnaissance des services de relève bénévole
RL-23.G,Guide du relevé 23 – Reconnaissance des services de relève bénévole
RL-24,Relevé 24 – Frais de garde d'enfants
RL-24.G,Guide du relevé 24 – Frais de garde d'enfants
RL-24.S,Sommaire 24 – Frais de garde d'enfants
RL-31,Relevé 31 – Renseignements sur l'occupation d'un logement
RL-31.CS,Relevé 31 – Renseignements sur l'occupation d'un logement
RL-31.G,Guide du relevé 31 – Renseignements sur l'occupation d'un logement
RL-31.G.A,Quelques conseils pour vous aider à produire le relevé 31
RLZ-1.S.G,Guide du sommaire 1 – Sommaire des retenues et des cotisations de l'employeur
RR-50,Choix ou révocation du choix de cesser de verser des cotisations au Régime de rentes du Québec
RR-65,Demande de décision concernant la détermination du statut de salarié ou de travailleur autonome
RR-65.A,Questionnaire pour la détermination du statut de salarié ou de travailleur autonome
SW-223,Guide du préparateur – Particuliers
SW-341,Guide d'utilisation – Interface de programmation d'applications (API) servant à obtenir un code de région touristique à l'aide d'un code postal
SW-569,Remise de produits financiers non réclamés – Spécifications techniques relatives à la conception du fichier XML
TP-1,"Déclaration de revenus, guide et annexes"
TP-1.R,Demande de redressement d'une déclaration de revenus
TP-21.4.39,Déclaration relative aux cryptoactifs
TP-22,Impôt d'un particulier qui exploite une entreprise au Canada mais hors du Québec
TP-25,"Impôt d'un particulier qui exploite une entreprise au Québec, mais qui réside ailleurs au Canada"
TP-59,Dépenses d'emploi pour un employé salarié ou un employé à la commission
TP-59.S,Dépenses relatives au télétravail engagées en raison de la crise liée à la COVID-19
TP-64.3,Conditions générales d'emploi
TP-66,Dépenses d'emploi pour un employé dans les transports
TP-75.2,Dépenses d'emploi pour une personne de métier salariée
TP-76,Déduction pour résidence d'un membre du clergé ou d'un ordre religieux
TP-78,Dépenses d'emploi pour un travailleur forestier
TP-78.4,Dépenses d'emploi pour un musicien salarié
TP-80,Revenus et dépenses d'entreprise ou de profession
TP-80.1,Rajustement du revenu d'entreprise ou de profession au 31 décembre
TP-83,Choix d'évaluer au prix unitaire certains animaux de reproduction et d'élevage
TP-128,Revenus et dépenses de location d'un bien immeuble
TP-130.AD,Déduction pour amortissement à l'égard de biens relatifs à la passation en charges immédiate désignés
TP-130.EN,Entente relative au plafond de passation en charges immédiate
TP-157,Attestation d'admissibilité des dépenses de rénovation ou de transformation
TP-163.1,Intérêts payés relativement à une avance consentie sur une police d'assurance vie
TP-232.1,Perte à l'égard d'un placement dans une entreprise
TP-247.2,Aliénation réputée d'une action d'une société avant qu'elle devienne publique
TP-274,Désignation d'un bien comme résidence principale
TP-274.S,Réduction du gain en capital réputé réalisé sur une résidence principale
TP-348,Frais de déménagement
TP-350.1,Calcul de la déduction pour particulier habitant une région éloignée reconnue
TP-350.1.G,Déduction pour particulier habitant une région éloignée reconnue
TP-358.0.1,Déduction pour produits et services de soutien à une personne handicapée
TP-481,Entente relative à une dette
TP-517.5.5,Désignation d'un gain en capital réputé dans le cadre du transfert d'une entreprise familiale
TP-518,Transfert de biens par un contribuable à une société canadienne imposable
TP-599,Détermination du prix de base rajusté d'une participation dans une société de personnes
TP-614,Transfert de biens à une société de personnes canadienne
TP-671.9,Déclaration de renseignements du bénéficiaire d'une fiducie désignée
TP-726.6,Perte nette cumulative sur placement
TP-726.7,Déduction pour gains en capital sur biens admissibles
TP-726.7.S,Solde des gains en capital exemptés
TP-726.20.2,Déduction pour gains en capital sur biens relatifs aux ressources
TP-726.30,Étalement du revenu pour un producteur forestier
TP-729,Report prospectif des pertes nettes en capital
TP-752.0.0.6,Redressement pour indemnités de remplacement du revenu reçues d'un régime public d'indemnisation hors du Québec
TP-752.0.1.i,Certificat de religieux
TP-752.0.13.1,Frais pour soins médicaux non dispensés dans votre région
TP-752.0.14,Attestation de déficience
TP-752.0.18.10,Droits de scolarité pour cours de pilotage aérien
TP-752.HA,Crédit d'impôt pour achat d'une habitation
TP-752.PC,Crédit d'impôt pour prolongation de carrière
TP-766.2,"Étalement d'un paiement rétroactif, d'arrérages de pension alimentaire ou d'un remboursement de pension alimentaire"
TP-766.3.4,Impôt sur le revenu fractionné
TP-772,Crédit pour impôt étranger
TP-776.1.ND,Crédit d'impôt pour nouveau diplômé travaillant dans une région ressource éloignée
TP-776.42,Impôt minimum de remplacement
TP-785.2.5,Biens possédés par un émigrant
TP-930,Choix relatifs au REER d'un rentier décédé
TP-931.1,Sommes provenant d'un REER ou d'un FERR au profit du conjoint
TP-935.3,Remboursement des sommes retirées d'un REER dans le cadre du RAP ou du REEP
TP-935.45,Désignation conjointe d'un montant relatif à un CELIAPP après le décès du titulaire
TP-961.8,Choix relatif à la prestation désignée d'un FERR
TP-965.0.33,Désignation conjointe d'un montant relatif au RPAC/RVER d'un participant décédé
TP-965.0.43,Désignation conjointe d'un montant relatif au contrat de rente viagère différée à un âge avancé d'un rentier décédé
TP-965.39.4,Calcul de la déduction relative au RIC
TP-965.55,Régime d'épargne-actions (REA II)
TP-965.55.R,Recouvrement de déductions pour un régime d'épargne-actions (REA II)
TP-1000.TE,Transmission par Internet de la déclaration de revenus d'un particulier
TP-1012.A,Report rétrospectif d'une perte
TP-1012.B,Report rétrospectif d'une déduction ou d'un crédit d'impôt
TP-1015.3,Déclaration pour la retenue d'impôt
TP-1016,Demande de réduction de la retenue d'impôt
TP-1017,Demande de retenue supplémentaire d'impôt
TP-1019.4,Registre et déclaration des pourboires
TP-1026,Calcul des acomptes provisionnels des particuliers – 2025
TP-1029.8.33.6,Crédit d'impôt pour stage en milieu de travail
TP-1029.8.33.13,Crédit d'impôt relatif à la déclaration des pourboires
TP-1029.8.36.EC,Crédit d'impôt pour acquisition ou location d'un véhicule neuf écoénergétique
TP-1029.8.36.VP,Crédit d'impôt pour intérêts sur un prêt consenti par un vendeur-prêteur et garanti par la Financière agricole du Québec
TP-1029.8.61.64,Crédit d'impôt pour personne aidante
TP-1029.8.63,Crédit d'impôt pour frais d'adoption
TP-1029.8.66.2,Crédit d'impôt pour traitement de l'infertilité
TP-1029.8.66.2A,Crédit d'impôt pour traitement de l'infertilité – Demande de versement anticipé
TP-1029.8.66.2M,Attestation relative au traitement de l'infertilité
TP-1029.9,Crédit d'impôt pour chauffeur ou propriétaire de taxi
TP-1029.61.MD,Dépenses incluses dans le loyer d'un logement situé dans une résidence privée pour aînés – Crédit d'impôt pour maintien à domicile des aînés
TP-1029.AE,Crédit d'impôt pour mise aux normes d'installations d'assainissement des eaux usées résidentielles
TP-1029.AE.A,Attestation de conformité de biens aux normes d'installations d'assainissement des eaux usées résidentielles
TP-1029.AE.D,Déclaration de renseignements – Crédit d'impôt pour mise aux normes d'installations d'assainissement des eaux usées résidentielles
TP-1029.AN.A,Attestation d'assistance soutenue
TP-1029.BF,Crédit d'impôt Bouclier fiscal
TP-1029.ER,Crédit d'impôt ÉcoRénov
TP-1029.LR,Crédit d'impôt LogiRénov
TP-1029.RE,Crédit d'impôt pour remise en état d'une résidence secondaire
TP-1029.RE.D,Déclaration de renseignements – Crédit d'impôt pour remise en état d'une résidence secondaire
TP-1029.RV,Crédit d'impôt RénoVert
TP-1029.RV.A,Attestation de conformité de biens à des normes écoresponsables – Crédit d'impôt RénoVert
TP-1029.RV.D,Déclaration de renseignements – Crédit d'impôt RénoVert
TP-1029.SA,Crédit d'impôt pour soutien aux aînés
TP-1029.TM,Subvention pour aînés relative à une hausse de taxes municipales
TP-1032,Choix de payer par versements l'impôt découlant de l'aliénation réputée de certains biens détenus au décès
TP-1033.2,Choix de reporter le paiement de l'impôt sur le revenu relatif à une aliénation réputée de biens
TP-1033.2.A,Aliénation réputée de biens par un émigrant
TP-1033.17,Choix de reporter le paiement de l'impôt découlant de l'aliénation réputée de certaines actions détenues au décès
TP-1079.6,"État des pertes, des déductions et des crédits d'impôt relatifs à un abri fiscal"
TP-1079.CP,Divulgation obligatoire d'une planification fiscale par un conseiller ou un promoteur
TP-1079.DI,Divulgation obligatoire d'une opération confidentielle ou d'une opération avec rémunération conditionnelle ou protection contractuelle
TP-1079.PN,Divulgation d'un contrat de prête-nom
TP-1086.R.23.12,Frais engagés pour réaliser des travaux sur un immeuble
TP-1097,"Avis d'aliénation réelle ou projetée de biens québécois imposables, par un particulier ou une société résidant hors du Canada"
TP-1102.1,"Avis d'aliénation réelle ou projetée d'un bien visé à l'article 1102.1 de la Loi sur les impôts, par un particulier ou une société résidant hors du Canada"
TP-1102.3,Impôt à payer par un assureur pour le compte d'une personne résidant hors du Canada ayant aliéné une police d'assurance vie
TP-1129,Choix pour l'allégement spécial concernant le report de l'imposition d'un avantage lié à une option d'achat de titres
TP-1129.64,Impôt spécial relatif à un régime enregistré d'épargne-études
TP-1129.69.2,Impôt spécial relatif au crédit d'impôt pour dons de mécénat culturel
TP-1129.RI,Impôt spécial relatif à un excédent d'un régime d'intéressement
TP-1179.S,Revenu tiré d'opérations forestières par une société de personnes
TPZ-1026.0.1.M,Bordereau de paiement – Montréal
TPZ-1026.0.1.Q,Bordereau de paiement – Québec
TPZ-1026.A,Acomptes provisionnels d'un particulier
TPZ-1029.8.F,Crédit d'impôt pour frais de garde d'enfants – Demande de versements anticipés
TPZ-1029.8.F.A,Frais de garde donnant droit au crédit d'impôt – Tarif et nombre de jours de garde prévus
TPZ-1029.8.F.C,Demande de modification – Versements anticipés du crédit d'impôt pour frais de garde d'enfants
TPZ-1029.8.P,Crédit d'impôt pour prime au travail – Demande de versements anticipés
TPZ-1029.8.PS,Supplément à la prime au travail – Demande de versements anticipés
TPZ-1029.AN,Crédit d'impôt pour personne aidante – Demande de versements anticipés
TPZ-1029.MD.5,Déclaration de renseignements – Crédit d'impôt pour maintien à domicile des aînés
TPZ-1029.MD.5.C,Coût des services admissibles inclus dans les charges de copropriété – Crédit d'impôt pour maintien à domicile des aînés
TPZ-1029.MD.7,Demande de versements anticipés basés sur le loyer et sur les services inclus dans le loyer – Crédit d'impôt pour maintien à domicile des aînés
TPZ-1029.MD.8,Demande de versements anticipés – Services inclus dans les charges de copropriété – Crédit d'impôt pour maintien à domicile des aînés
TPZ-1029.MD.9,Demande de versements anticipés – Services occasionnels – Crédit d'impôt pour maintien à domicile des aînés
TPZ-1029.MD.15,Inscription d'une résidence privée pour aînés – Crédit d'impôt pour maintien à domicile des aînés
TPZ-1029.MD.A,Attestation – Statut de personne non autonome – Crédit d'impôt pour maintien à domicile des aînés
TPZ-1179,Déclaration concernant les opérations forestières – Particuliers ou fiducies
TPZ-1185.1,Versement de la taxe à payer sur les opérations forestières
TR-287.R,Déclaration de la redevance liée au transport rémunéré de personnes
VD-55.1,Demande du certificat de détermination de la TVQ lors de l'immatriculation d'un véhicule routier
VD-55.1.A,Véhicules visés par la demande du certificat de détermination de la TVQ
VD-60.R,Demande de remboursement de la TVQ à l'égard d'un véhicule routier
VD-80.1,Déclaration de transaction entre particuliers liés portant sur un véhicule routier
VD-90,Demande de remboursement de la taxe sur les boissons alcooliques payée par une ou un membre des Premières Nations ou un conseil de bande
VD-197,Déclaration relative au transport d'un bien meuble corporel
VD-352,"Demande de remboursement de la TVQ payée sur un bien meuble corporel emporté ou expédié au Canada, mais hors du Québec, par un résident canadien"
VD-358,Remboursement de la TVQ pour un salarié ou un membre d'une société de personnes
VD-370.67,Remboursement de TVQ pour un immeuble d'habitation locatif neuf
VD-370.89,Remboursement de TVQ pour un immeuble d'habitation locatif neuf – Coopératives d'habitation et locateurs de terrains
VD-403.E,Demande de remboursement concernant les véhicules automobiles neufs expédiés hors du Québec
VD-477.18.7,Déclaration de renseignements des exploitants de plateforme de distribution
VD-477.18.8,Déclaration de renseignements des exploitants de plateforme de logements
VDZ-471,Déclaration de la TVQ
RC723,"Transfer from an FHSA to another FHSA, RRSP or RRIF on Breakdown of Marriage or Common-law Partnership"
RC721,"Transfer from your FHSA to your FHSA, RRSP or RRIF"
RC634,"Monthly Beer Credit Claim Worksheet – April 1, 2025 to March 31, 2026"
RC633,"Monthly Beer Revenue Worksheet – April 1, 2025 to March 31, 2026"
AUT-01,Authorize a Representative for Offline Access
AUT-01X,Cancel Authorization for a Representative
T2054,Election for a Capital Dividend Under Subsection 83(2)
T5013SCH444,Eligible Yukon Mining UCC and Eligible Yukon UCC Worksheet for Partnerships
B273,Excise Return - Cigarette Inventory Tax
T2SCH307,Newfoundland and Labrador Corporation Tax Calculation
B602,Application for a Refund of Vaping Duty
5013-R,Income Tax and Benefit Return for Non-Residents and Deemed Residents of Canada
T2142,Part XII.3 Tax Return Tax on Investment Income of Life Insurers
T2016,Part XIII Tax Return - Tax on Income from Canada of Approved Non-Resident Insurers
RC532,Request for Administrative Review
E638,Application for Exemption from Tax on Insurance Premiums Imposed Under Part I of the Excise Tax Act
N15,Excise Tax Application for Refund
B200,Excise Tax Return
E638A,Statement of Availability or Declination from Authorized Insurers – Tax on Insurance Premiums under Part I of the Excise Tax Act
B243,Tax on Insurance Premiums Return – Insured
B285,Tobacco Information Return – Prescribed Person
RC727,Designate an Excess FHSA Amount as a Withdrawal from your FHSA or as a Transfer to your RRSP or RRIF
RC4616,Election or Revocation of an Election for a Qualifying Group to Treat Certain Taxable Supplies as Having Been Made for Nil Consideration for GST/HST Purposes
RC7296,"Election or Revocation of the Election for a Qualifying Group That Includes a Selected Listed Financial Institution to Treat Certain Taxable Supplies as Having Been Made for Nil Consideration for GST/HST Purposes, QST Purposes, or Both"
GST59,"GST/HST Return for Imported Taxable Supplies, Qualifying Consideration, and Internal and External Charges"
RC729,Request for Waiver or Cancellation of Tax on your Excess FHSA Amount
T777,Statement of Employment Expenses
T4,Statement of Remuneration Paid (slip)
RC722,"Transfer from an FHSA to an FHSA, RRSP or RRIF After the Death of the Holder"
RC724,Joint Designation for a Deemed Transfer or Distribution from an FHSA after the Death of the Holder
RC506,Bank Remitted Payments Adjustment Form
RC364,Application to Register a Plan as a Pooled Registered Pension Plan
T920,Application to amend a registered pension plan
T510,Application to register a pension plan
T2SCH428,British Columbia Training Tax Credit
RC240,Designation of an Exempt Contribution - Tax-Free Savings Account (TFSA)
RC725,Request to Make a Qualifying Withdrawal from your FHSA
